dataset,model,input_length,prediction_length,mse,mae,rmse,mape,mspe
SocialGood,iTransformer_GPT2_SocialGood_ftSsl8ll0pl6pw0.1dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,8,6,0.8692367076873779,0.5034328699111938,0.9323286414146423,1.4078173637390137,28.89178466796875
SocialGood,iTransformer_GPT2_SocialGood_ftSsl8ll0pl8pw0.1dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,8,8,0.8375165462493896,0.4776447117328644,0.915159285068512,1.2901554107666016,25.984968185424805
SocialGood,iTransformer_GPT2_SocialGood_ftSsl24ll0pl8pw0.1dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,24,8,0.7122226357460022,0.38398849964141846,0.8439328670501709,0.7459059357643127,7.905648231506348
SocialGood,iTransformer_GPT2_SocialGood_ftSsl8ll0pl10pw0.1dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,8,10,0.8961049914360046,0.5106459259986877,0.946628212928772,1.3982514142990112,27.922605514526367
SocialGood,iTransformer_GPT2_SocialGood_ftSsl24ll0pl6pw0.2dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,24,6,0.664383053779602,0.32863864302635193,0.8150969743728638,0.7674679160118103,11.370753288269043
SocialGood,iTransformer_GPT2_SocialGood_ftSsl24ll0pl12pw0.8dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,24,12,0.8303086161613464,0.44855135679244995,0.9112127423286438,1.0414379835128784,17.36190414428711
SocialGood,iTransformer_GPT2_SocialGood_ftSsl8ll0pl12pw0.1dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,8,12,0.8993393182754517,0.47942784428596497,0.9483350515365601,1.1777293682098389,20.764190673828125
Agriculture,iTransformer_GPT2_Agriculture_ftSsl24ll0pl10pw0.8dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,24,10,0.8648666739463806,0.632322371006012,0.92998206615448,0.17109470069408417,0.049117084592580795
Agriculture,iTransformer_GPT2_Agriculture_ftSsl8ll0pl6pw0.8dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,8,6,0.831238865852356,0.6340023875236511,0.9117230176925659,0.17469462752342224,0.04723065346479416
Agriculture,iTransformer_GPT2_Agriculture_ftSsl8ll0pl8pw0.8dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,8,8,0.7702130079269409,0.5926117897033691,0.8776177763938904,0.1617211103439331,0.043945156037807465
Agriculture,iTransformer_GPT2_Agriculture_ftSsl24ll0pl8pw0.8dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,24,8,0.7930344939231873,0.6032981276512146,0.8905248641967773,0.16408729553222656,0.045208122581243515
Agriculture,iTransformer_GPT2_Agriculture_ftSsl8ll0pl10pw0.8dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,8,10,0.8519359230995178,0.6289689540863037,0.9230037331581116,0.17125284671783447,0.04863683134317398
Agriculture,iTransformer_GPT2_Agriculture_ftSsl24ll0pl6pw0.8dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,24,6,0.682634174823761,0.5620812177658081,0.8262167572975159,0.14972087740898132,0.03737817332148552
Agriculture,iTransformer_GPT2_Agriculture_ftSsl24ll0pl12pw0.8dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,24,12,0.9587717056274414,0.671663224697113,0.9791688919067383,0.18249161541461945,0.05493485555052757
Agriculture,iTransformer_GPT2_Agriculture_ftSsl8ll0pl12pw0.8dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,8,12,1.091536045074463,0.7360627055168152,1.0447660684585571,0.2026766538619995,0.06310424953699112
