dataset,model,input_length,prediction_length,mse,mae,rmse,mape,mspe
Energy,iTransformer_GPT2_Energy_ftSsl36ll0pl36pw0.5dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,36,36,0.5308676362037659,0.5977946519851685,0.728606641292572,3.413675308227539,249.18917846679688
Energy,iTransformer_GPT2_Energy_ftSsl24ll0pl24pw0.5dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,24,24,0.5738039016723633,0.6150573492050171,0.7574984431266785,3.593729257583618,187.4612579345703
Energy,iTransformer_GPT2_Energy_ftSsl36ll0pl48pw0.5dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,36,48,0.5974859595298767,0.6488795280456543,0.7729721665382385,4.622772693634033,446.1090393066406
Energy,iTransformer_GPT2_Energy_ftSsl24ll0pl12pw0.5dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,24,12,0.4443533420562744,0.542097806930542,0.6665983200073242,3.2527523040771484,149.93991088867188
Health,iTransformer_GPT2_Health_ftSsl24ll0pl48pw0.5dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,24,48,1.4859870672225952,0.8758775591850281,1.2190107107162476,4.323544502258301,341.5127258300781
Health,iTransformer_GPT2_Health_ftSsl24ll0pl36pw0.5dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,24,36,1.3530153036117554,0.7970452904701233,1.1631919145584106,3.48671817779541,232.8966827392578
Health,iTransformer_GPT2_Health_ftSsl36ll0pl12pw0.5dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,36,12,1.0956896543502808,0.7646771669387817,1.0467519760131836,3.7704031467437744,270.31005859375
Health,iTransformer_GPT2_Health_ftSsl36ll0pl24pw0.5dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,36,24,1.390053391456604,0.8282459378242493,1.1790052652359009,3.9443986415863037,351.0565185546875
Health,iTransformer_GPT2_Health_ftSsl36ll0pl36pw0.5dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,36,36,1.3510738611221313,0.8068230748176575,1.162356972694397,3.545135021209717,246.08204650878906
Health,iTransformer_GPT2_Health_ftSsl24ll0pl24pw0.5dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,24,24,1.3982062339782715,0.8601055145263672,1.182457685470581,3.9365408420562744,292.60955810546875
Health,iTransformer_GPT2_Health_ftSsl36ll0pl48pw0.5dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,36,48,1.4090700149536133,0.8185479640960693,1.1870425939559937,3.548912286758423,224.9852752685547
Health,iTransformer_GPT2_Health_ftSsl24ll0pl12pw0.5dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,24,12,1.1609774827957153,0.7452046871185303,1.0774866342544556,3.651691436767578,265.8712463378906
Environment,iTransformer_GPT2_Environment_ftSsl84ll0pl336pw0.5dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,84,336,0.29035887122154236,0.40002700686454773,0.5388495922088623,1.0860438346862793,14.754677772521973
Environment,iTransformer_GPT2_Environment_ftSsl24ll0pl96pw0.5dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,24,96,0.304166704416275,0.3892871141433716,0.5515130758285522,1.1982104778289795,20.7883243560791
Environment,iTransformer_GPT2_Environment_ftSsl84ll0pl96pw0.5dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,84,96,0.30128028988838196,0.39985841512680054,0.5488900542259216,1.105837345123291,15.579011917114258
Environment,iTransformer_GPT2_Environment_ftSsl84ll0pl24pw0.5dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,84,24,0.3102096915245056,0.3900316655635834,0.5569646954536438,1.2187964916229248,19.59628677368164
Environment,iTransformer_GPT2_Environment_ftSsl84ll0pl192pw0.5dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,84,192,0.3006838858127594,0.3935736119747162,0.5483465194702148,1.1672593355178833,18.201894760131836
Environment,iTransformer_GPT2_Environment_ftSsl24ll0pl336pw0.5dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,24,336,0.2841626703739166,0.3810439705848694,0.5330691337585449,1.1908096075057983,20.969886779785156
Environment,iTransformer_GPT2_Environment_ftSsl24ll0pl24pw0.5dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,24,24,0.2984803318977356,0.3849503993988037,0.5463335514068604,1.1940574645996094,20.519182205200195
Environment,iTransformer_GPT2_Environment_ftSsl24ll0pl192pw0.5dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,24,192,0.2874947190284729,0.3801579773426056,0.5361853241920471,1.187667727470398,20.884977340698242
Traffic,iTransformer_GPT2_Traffic_ftSsl24ll0pl10pw0.5dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,24,10,0.18566559255123138,0.3301408886909485,0.4308893084526062,0.29280030727386475,0.2877461612224579
Traffic,iTransformer_GPT2_Traffic_ftSsl8ll0pl6pw0.5dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,8,6,0.177460715174675,0.274883508682251,0.42126086354255676,0.27456340193748474,0.39436209201812744
Traffic,iTransformer_GPT2_Traffic_ftSsl8ll0pl8pw0.5dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,8,8,0.17857010662555695,0.2696007192134857,0.42257556319236755,0.2658679783344269,0.3626813292503357
Traffic,iTransformer_GPT2_Traffic_ftSsl24ll0pl8pw0.5dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,24,8,0.17288176715373993,0.3024998605251312,0.41579052805900574,0.27832329273223877,0.3066670894622803
Traffic,iTransformer_GPT2_Traffic_ftSsl8ll0pl10pw0.5dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,8,10,0.18852598965168,0.3075205683708191,0.43419578671455383,0.2939044237136841,0.37635359168052673
Traffic,iTransformer_GPT2_Traffic_ftSsl24ll0pl6pw0.5dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,24,6,0.16875673830509186,0.30224770307540894,0.41080012917518616,0.2723243534564972,0.27771854400634766
Traffic,iTransformer_GPT2_Traffic_ftSsl24ll0pl12pw0.5dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,24,12,0.1792442798614502,0.30331677198410034,0.4233725070953369,0.28231894969940186,0.3213794529438019
Traffic,iTransformer_GPT2_Traffic_ftSsl8ll0pl12pw0.5dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,8,12,0.1788146197795868,0.25734052062034607,0.42286476492881775,0.266248881816864,0.4018849730491638
Climate,iTransformer_GPT2_Climate_ftSsl24ll0pl10pw0.5dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,24,10,0.9029148817062378,0.7474809288978577,0.9502183198928833,2.2760910987854004,32.040523529052734
